"","NO_","POI","NOMBRE_POI","ESPECIALID","DIRECCION","NUMEXT","INTERIOR","CP","SENAS","COLONIA","DELEGACION","SECTOR","LATITUDE","LONGITUDE","TIPO","PROY_CART","CREACION","ACTUALIZAC","COB1_STV","COB2_TOTEM","FUENTE","ID_ESTADO","IDENT_CATE","IDENT_SUBC","IDENT_POI","INFORMACIO"
"66","C5-25-00066","PANTEONES","PANTEON SAN RAFAEL","PANTEON - CEMENTERIO","AV  REVOLUCION","SN","SN",1090,"EJE 10 SUR","LA OTRA BANDA","ALVARO OBREGON","SAN ANGEL",19.3378,-99.1916,"CAPA 25","EPSG:4326 - WGS 84 - GEOGRAFICA","01/01/2013","23/02/2022","12362, 12359","MC2931","STREET VIEW",9,"1",25,"C5-25-00066","PANTEON SAN RAFAEL, AV  REVOLUCION, EJE 10 SUR, LA OTRA BANDA, ALVARO OBREGON"
"67","C5-25-00067","PANTEONES","PANTEON SAN RAMON","PANTEON - CEMENTERIO","DE LOS MUTILES","SN","SN",1830,"TLALMIMINOLPAN","AGUILAS-STA LUCIA","ALVARO OBREGON","ALPES",19.3362,-99.279,"CAPA 25","EPSG:4326 - WGS 84 - GEOGRAFICA","01/01/2013","23/02/2022","287","MC19002, MC19003, MC19004","STREET VIEW",9,"1",25,"C5-25-00067","PANTEON SAN RAMON, DE LOS MUTILES, TLALMIMINOLPAN, AGUILAS-STA LUCIA, ALVARO OBREGON"
"68","C5-25-00068","PANTEONES","PANTEON SANTA FE","PANTEON - CEMENTERIO","VASCO DE QUIROGA","SN","SN",1260,"PASEO DE LA NIEVE","SANTA FE","ALVARO OBREGON","SANTA FE",19.3846,-99.2307,"CAPA 25","EPSG:4326 - WGS 84 - GEOGRAFICA","01/01/2013","23/02/2022","9149","","STREET VIEW",9,"1",25,"C5-25-00068","PANTEON SANTA FE, VASCO DE QUIROGA, PASEO DE LA NIEVE, SANTA FE, ALVARO OBREGON"
"69","C5-25-00069","PANTEONES","PANTEON SANTA ROSA","PANTEON - CEMENTERIO","DE LOS MUTILES","SN","SN",1830,"CARR SAN MATEO TLALT","SAN BARTOLO AMEYALCO","ALVARO OBREGON","ALPES",19.3342368,-99.28038952,"CAPA 25","EPSG:4326 - WGS 84 - GEOGRAFICA","01/01/2013","23/02/2022","","MC3774, MC19005","STREET VIEW",9,"1",25,"C5-25-00069","PANTEON SANTA ROSA, DE LOS MUTILES, CARR SAN MATEO TLALT, SAN BARTOLO AMEYALCO, ALVARO OBREGON"
"70","C5-25-00070","PANTEONES","PANTEON TETELPAN","PANTEON - CEMENTERIO","CJON DEL RECUERDO","SN","SN",1700,"SOLEDAD","TECALCAPA","ALVARO OBREGON","ALPES",19.3433,-99.2276,"CAPA 25","EPSG:4326 - WGS 84 - GEOGRAFICA","01/01/2013","23/02/2022","","MC102, MC19006","STREET VIEW",9,"1",25,"C5-25-00070","PANTEON TETELPAN, CJON DEL RECUERDO, SOLEDAD, TECALCAPA, ALVARO OBREGON"
"71","C5-25-00071","PANTEONES","PANTEON SAN BERNABE","PANTEON - CEMENTERIO","EMILIANO ZAPATA","SN","SN",10300,"PALMA ZURITA","SAN BERNABE OCOTEPEC","MAGDALENA CONTRERAS","SAN JERONIMO",19.3116,-99.2549,"CAPA 25","EPSG:4326 - WGS 84 - GEOGRAFICA","01/01/2013","23/02/2022","7290","","STREET VIEW",9,"1",25,"C5-25-00071","PANTEON SAN BERNABE, EMILIANO ZAPATA, PALMA ZURITA, SAN BERNABE OCOTEPEC, MAGDALENA CONTRERAS"
"72","C5-25-00072","PANTEONES","PANTEON SAN FRANCISCO MAGDALENA CONTRERAS","PANTEON - CEMENTERIO","AV SAN FRANCISCO 553","SN","SN",10500,"FRESNO","BARRIO SAN FRANCISCO","MAGDALENA CONTRERAS","DINAMO",19.3136,-99.2335,"CAPA 25","EPSG:4326 - WGS 84 - GEOGRAFICA","01/01/2013","23/02/2022","13307","MC19061, MC19060","STREET VIEW",9,"1",25,"C5-25-00072","PANTEON SAN FRANCISCO MAGDALENA CONTRERAS, AV SAN FRANCISCO 553, FRESNO, BARRIO SAN FRANCISCO, MAGDALENA CONTRERAS"
"73","C5-25-00073","PANTEONES","PANTEON SAN JERONIMO MAGDALENA CONTRERAS","PANTEON - CEMENTERIO","FFCC CUERNAVACA","SN","SN",10200,"HEROES DE PADIERNA","SAN JERONIMO LIDICE","MAGDALENA CONTRERAS","SAN JERONIMO",19.3299,-99.2256,"CAPA 25","EPSG:4326 - WGS 84 - GEOGRAFICA","01/01/2013","23/02/2022","4124","MC19152, MC19151","STREET VIEW",9,"1",25,"C5-25-00073","PANTEON SAN JERONIMO MAGDALENA CONTRERAS, FFCC CUERNAVACA, HEROES DE PADIERNA, SAN JERONIMO LIDICE, MAGDALENA CONTRERAS"
"74","C5-25-00074","PANTEONES","PANTEON SAN JOSE MAGDALENA CONTRERAS","PANTEON - CEMENTERIO","SOLEDAD","SN","SN",10900,"5 DE MAYO","SAN NICOLAS TOTOLAPAN","MAGDALENA CONTRERAS","DINAMO",19.2983,-99.2377,"CAPA 25","EPSG:4326 - WGS 84 - GEOGRAFICA","01/01/2013","23/02/2022","4128","MC19062","STREET VIEW",9,"1",25,"C5-25-00074","PANTEON SAN JOSE MAGDALENA CONTRERAS, SOLEDAD, 5 DE MAYO, SAN NICOLAS TOTOLAPAN, MAGDALENA CONTRERAS"
"75","C5-25-00075","PANTEONES","PANTEON SAN NICOLAS","PANTEON - CEMENTERIO","MATAMOROS","SN","SN",10900,"FFCC CUERNAVACA","SAN NICOLAS TOTOLAPAN","MAGDALENA CONTRERAS","DINAMO",19.2974302,-99.23450334,"CAPA 25","EPSG:4326 - WGS 84 - GEOGRAFICA","01/01/2013","23/02/2022","5305","MC19063","STREET VIEW",9,"1",25,"C5-25-00075","PANTEON SAN NICOLAS, MATAMOROS, FFCC CUERNAVACA, SAN NICOLAS TOTOLAPAN, MAGDALENA CONTRERAS"
"76","C5-25-00076","PANTEONES","PANTEON  SAN JUAN TEPENAHUAC","PANTEON - CEMENTERIO","FRESNO","15","SN",12800,"CAM MILPA ALTA","SAN JUAN TEPENAHUAC","MILPA ALTA","TECOMITL",19.19,-98.9957,"CAPA 25","EPSG:4326 - WGS 84 - GEOGRAFICA","01/01/2013","23/02/2022","","MC10001, MC19084, MC19083","STREET VIEW",9,"1",25,"C5-25-00076","PANTEON  SAN JUAN TEPENAHUAC, FRESNO, CAM MILPA ALTA, SAN JUAN TEPENAHUAC, MILPA ALTA"
"77","C5-25-00077","PANTEONES","PANTEON ALEMAN","PANTEON - CEMENTERIO","CALZ MEXICO TACUBA","SN","SN",11230,"AV 1131","ARGENTINA PONIENTE","MIGUEL HIDALGO","TACUBA",19.4594,-99.1997,"CAPA 25","EPSG:4326 - WGS 84 - GEOGRAFICA","01/01/2013","23/02/2022","7351, 7388","","STREET VIEW",9,"VERDADERO",25,"C5-25-00077","PANTEON ALEMAN, CALZ MEXICO TACUBA, AV 1131, ARGENTINA PONIENTE, MIGUEL HIDALGO"
"78","C5-25-00078","PANTEONES","PANTEON AMERICANO","PANTEON - CEMENTERIO","CALZ SAN BARTOLO NAUCALPAN","SN","SN",11230,"LAGO BUENOS AIRES","ARGENTINA PONIENTE","MIGUEL HIDALGO","TACUBA",19.4592,-99.2016,"CAPA 25","EPSG:4326 - WGS 84 - GEOGRAFICA","01/01/2013","23/02/2022","3141","","STREET VIEW",9,"VERDADERO",25,"C5-25-00078","PANTEON AMERICANO, CALZ SAN BARTOLO NAUCALPAN, LAGO BUENOS AIRES, ARGENTINA PONIENTE, MIGUEL HIDALGO"
"79","C5-25-00079","PANTEONES","PANTEON CIVIL DE DOLORES","PANTEON - CEMENTERIO","AV DE LOS CONSTITUYENTES","SN","SN",11100,"6A CLASE","BOSQUE DE CHAPULTEPEC III SECCION","MIGUEL HIDALGO","TACUBAYA",19.4079,-99.2066,"CAPA 25","EPSG:4326 - WGS 84 - GEOGRAFICA","01/01/2013","23/02/2022","13372, 2765, 7406, 7914, 13868, 13487, 11611, 2765","MC19067,MC19068","STREET VIEW",9,"VERDADERO",25,"C5-25-00079","PANTEON CIVIL DE DOLORES, AV DE LOS CONSTITUYENTES, 6A CLASE, BOSQUE DE CHAPULTEPEC III SECCION, MIGUEL HIDALGO"
"80","C5-25-00080","PANTEONES","PANTEON ESPAï¿½OL","PANTEON - CEMENTERIO","CALZ SAN BARTOLO NAUCALPAN","SN","SN",11230,"","ARGENTINA PONIENTE","MIGUEL HIDALGO","TACUBA",19.4615,-99.2065,"CAPA 25","EPSG:4326 - WGS 84 - GEOGRAFICA","01/01/2013","23/02/2022","13401, 15166, 16976, 3259, 13504, 13503","MC9375,MC5152,MC5194","STREET VIEW",9,"VERDADERO",25,"C5-25-00080","PANTEON ESPAï¿½OL, CALZ SAN BARTOLO NAUCALPAN, , ARGENTINA PONIENTE, MIGUEL HIDALGO"
"81","C5-25-00081","PANTEONES","PANTEON FRANCES SAN JOAQUIN","PANTEON - CEMENTERIO","RIO SAN JOAQUIN","SN","SN",11260,"CALZ LEGARIA","PANTEON FRANCES","MIGUEL HIDALGO","SOTELO",19.4497,-99.2064,"CAPA 25","EPSG:4326 - WGS 84 - GEOGRAFICA","01/01/2013","23/02/2022","13741, 13853, 7394, 13648","","STREET VIEW",9,"VERDADERO",25,"C5-25-00081","PANTEON FRANCES SAN JOAQUIN, RIO SAN JOAQUIN, CALZ LEGARIA, PANTEON FRANCES, MIGUEL HIDALGO"
