"","NO_","POI","NOMBRE_POI","ESPECIALID","DIRECCION","NUMEXT","INTERIOR","CP","SENAS","COLONIA","DELEGACION","SECTOR","LATITUDE","LONGITUDE","TIPO","PROY_CART","CREACION","ACTUALIZAC","COB1_STV","COB2_TOTEM","FUENTE","ID_ESTADO","IDENT_CATE","IDENT_SUBC","IDENT_POI","INFORMACIO"
"93","C5-25-00093","PANTEONES","PANTEON SANCTORUM","PANTEON - CEMENTERIO","CALZ MEXICO TACUBA","SN","SN",11260,"ENTRE INGENIEROS MILITARES Y GRAL. ARISTA","SAN JOAQUIN","MIGUEL HIDALGO","SOTELO",19.4545,-99.2129,"CAPA 25","EPSG:4326 - WGS 84 - GEOGRAFICA","01/01/2013","23/02/2022","1520 ,3139 ,3234 ,13427 ,13635 ,13649 ,13650 ,13651 ,13652 ,16981","MC19073","STREET VIEW",9,"VERDADERO",25,"C5-25-00093","PANTEON SANCTORUM, CALZ MEXICO TACUBA, ENTRE INGENIEROS MILITARES Y GRAL. ARISTA, SAN JOAQUIN, MIGUEL HIDALGO"
"94","C5-25-00094","PANTEONES","PANTEON SANTA ANA TLACOTENCO","PANTEON - CEMENTERIO","GUADALUPE I RAMIREZ","SN","SN",12930,"SOR JUANA INES DE LA CRUZ","SAN MIGUEL (SANTA ANA TLACOTENCO)","MILPA ALTA","TECOMITL",19.1727,-99.0017,"CAPA 25","EPSG:4326 - WGS 84 - GEOGRAFICA","01/01/2013","23/02/2022","16394","MC16088,MC19089","STREET VIEW",9,"VERDADERO",25,"C5-25-00094","PANTEON SANTA ANA TLACOTENCO, GUADALUPE I RAMIREZ, SOR JUANA INES DE LA CRUZ, SAN MIGUEL (SANTA ANA TLACOTENCO), MILPA ALTA"
"95","C5-25-00095","PANTEONES","PANTEON SANTA MARIA TICOMAN ANEXO","PANTEON - CEMENTERIO","CHIQUIHUITE","SN","SN",7350,"ENTRE ALLENDE Y LAZARO CA","BARRIO CANDELARIA TICOMAN","GUSTAVO A. MADERO","TICOMAN",19.5207,-99.1334,"CAPA 25","EPSG:4326 - WGS 84 - GEOGRAFICA","01/01/2013","23/02/2022","","MC19038","STREET VIEW",9,"VERDADERO",25,"C5-25-00095","PANTEON SANTA MARIA TICOMAN ANEXO, CHIQUIHUITE, ENTRE ALLENDE Y LAZARO CA, BARRIO CANDELARIA TICOMAN, GUSTAVO A. MADERO"
"96","C5-25-00096","PANTEONES","PANTEON ATZACOLACO VIEJO","PANTEON - CEMENTERIO","CERRITOS","SN","SN",7040,"ESQ. CABO FINISTERRE","SANTIAGO ATZACOALCO","GUSTAVO A. MADERO","QUIROGA",19.5006,-99.0957,"CAPA 25","EPSG:4326 - WGS 84 - GEOGRAFICA","01/01/2013","23/02/2022","6826, 11076","MC19030","STREET VIEW",9,"VERDADERO",25,"C5-25-00096","PANTEON ATZACOLACO VIEJO, CERRITOS, ESQ. CABO FINISTERRE, SANTIAGO ATZACOALCO, GUSTAVO A. MADERO"
"97","C5-25-00097","PANTEONES","PANTEON CERRO DEL TEPEYAC","PANTEON - CEMENTERIO","QUINTANA ROO","SN","SN",7050,"ALLENDE","VILLA GUSTAVO A MADERO","GUSTAVO A. MADERO","QUIROGA",19.4873,-99.116,"CAPA 25","EPSG:4326 - WGS 84 - GEOGRAFICA","01/10/2017","23/02/2022","","MC19042,MC19041","STREET VIEW",9,"VERDADERO",25,"C5-25-00097","PANTEON CERRO DEL TEPEYAC, QUINTANA ROO, ALLENDE, VILLA GUSTAVO A MADERO, GUSTAVO A. MADERO"
"98","C5-25-00098","PANTEONES","PANTEON SANTA MARIA TICOMAN","PANTEON - CEMENTERIO","ACUEDUCTO","SN","SN",7350,"ENTRE TICOMAN Y SAN JUAN","SAN JUAN Y GUADALUPE TICOMAN","GUSTAVO A. MADERO","TICOMAN",19.5201,-99.1335,"CAPA 25","EPSG:4326 - WGS 84 - GEOGRAFICA","01/01/2013","23/02/2022","6792","MC19039","STREET VIEW",9,"VERDADERO",25,"C5-25-00098","PANTEON SANTA MARIA TICOMAN, ACUEDUCTO, ENTRE TICOMAN Y SAN JUAN, SAN JUAN Y GUADALUPE TICOMAN, GUSTAVO A. MADERO"
"99","C5-25-00099","PANTEONES","PANTEON CUAUTEPEC","PANTEON - CEMENTERIO","AV FCO. VILLA","SN","SN",7190,"5 DE MAYO","LOMA LA PALMA","GUSTAVO A. MADERO","CUAUTEPEC",19.5507,-99.1417,"CAPA 25","EPSG:4326 - WGS 84 - GEOGRAFICA","01/01/2013","23/02/2022","17, 10841","MC5116,MC19031","STREET VIEW",9,"VERDADERO",25,"C5-25-00099","PANTEON CUAUTEPEC, AV FCO. VILLA, 5 DE MAYO, LOMA LA PALMA, GUSTAVO A. MADERO"
"100","C5-25-00100","PANTEONES","PANTEON DE XOCO","PANTEON - CEMENTERIO","AV MEXICO COYOACAN","SN","SN",4100,"ENTRE AV RIO CHURUBUSCO Y REAL DE MAYORAZGO","XOCO","BENITO JUAREZ","PORTALES",19.359,-99.1649,"CAPA 25","EPSG:4326 - WGS 84 - GEOGRAFICA","01/01/2013","23/02/2022","439, 2955, 3308","MC1975 ,MC1982 ,MC2506","STREET VIEW",9,"VERDADERO",25,"C5-25-00100","PANTEON DE XOCO, AV MEXICO COYOACAN, ENTRE AV RIO CHURUBUSCO Y REAL DE MAYORAZGO, XOCO, BENITO JUAREZ"
"101","C5-25-00101","PANTEONES","PANTEON GUADALUPE HIDALGO","PANTEON - CEMENTERIO","GRAL. PEDRO MARIA ANAYA","SN","SN",7070,"ENTRE 5 DE FEBRERO Y GRAL. FRANCISCO COSS","15 DE AGOSTO","GUSTAVO A. MADERO","QUIROGA",19.4843,-99.1103,"CAPA 25","EPSG:4326 - WGS 84 - GEOGRAFICA","01/01/2013","23/02/2022","1904","MC19149,MC17175,MC19150","STREET VIEW",9,"VERDADERO",25,"C5-25-00101","PANTEON GUADALUPE HIDALGO, GRAL. PEDRO MARIA ANAYA, ENTRE 5 DE FEBRERO Y GRAL. FRANCISCO COSS, 15 DE AGOSTO, GUSTAVO A. MADERO"
"102","C5-25-00102","PANTEONES","PANTEON DE LA CANDELARIA","PANTEON - CEMENTERIO","AV DEL PANTEON","SN","SN",4380,"2A PRIV AV DEL PANTEON","DE LA CANDELARIA","COYOACAN","XOTEPINGO",19.3309,-99.1484,"CAPA 25","EPSG:4326 - WGS 84 - GEOGRAFICA","01/10/2017","23/02/2022","","","STREET VIEW",9,"VERDADERO",25,"C5-25-00102","PANTEON DE LA CANDELARIA, AV DEL PANTEON, 2A PRIV AV DEL PANTEON, DE LA CANDELARIA, COYOACAN"
"103","C5-25-00103","PANTEONES","PANTEON DE LOS REYES","PANTEON - CEMENTERIO","DIVISION DEL NORTE","SN","SN",4330,"DEL RASTRO","LOS REYES","COYOACAN","COYOACAN",19.3383,-99.148,"CAPA 25","EPSG:4326 - WGS 84 - GEOGRAFICA","01/01/2013","23/02/2022","","","STREET VIEW",9,"VERDADERO",25,"C5-25-00103","PANTEON DE LOS REYES, DIVISION DEL NORTE, DEL RASTRO, LOS REYES, COYOACAN"
"104","C5-25-00104","PANTEONES","PANTEON MAUSOLEOS DEL ANGEL","PANTEON - CEMENTERIO","AV DEL IMAN","730","SN",4700,"ENTRE TLACUILOCALLI Y CRE","PEDREGAL DE CARRASCO","COYOACAN","XOTEPINGO",19.3079,-99.1781,"CAPA 25","EPSG:4326 - WGS 84 - GEOGRAFICA","01/01/2013","23/02/2022","","","STREET VIEW",9,"VERDADERO",25,"C5-25-00104","PANTEON MAUSOLEOS DEL ANGEL, AV DEL IMAN, ENTRE TLACUILOCALLI Y CRE, PEDREGAL DE CARRASCO, COYOACAN"
"105","C5-25-00105","PANTEONES","PANTEON ATZACOALCO NUEVO","PANTEON - CEMENTERIO","SAN JUANICO","SN","SN",7089,"ENRIQUE TORRES CALDERON","AMPLIACION GABRIEL HERNANDEZ","GUSTAVO A. MADERO","QUIROGA",19.5049,-99.0986,"CAPA 25","EPSG:4326 - WGS 84 - GEOGRAFICA","01/01/2013","23/02/2022","6760, 6954","MC19029","STREET VIEW",9,"VERDADERO",25,"C5-25-00105","PANTEON ATZACOALCO NUEVO, SAN JUANICO, ENRIQUE TORRES CALDERON, AMPLIACION GABRIEL HERNANDEZ, GUSTAVO A. MADERO"
"106","C5-25-00106","PANTEONES","PANTEON PUEBLO DE SAN JUAN DE ARAGON","PANTEON - CEMENTERIO","AV IGNACIO ALLENDE","SN","SN",7950,"ESQ. ISAIAS CABRERA","SAN JUAN DE ARAGON","GUSTAVO A. MADERO","ARAGON",19.4675,-99.0897,"CAPA 25","EPSG:4326 - WGS 84 - GEOGRAFICA","01/01/2013","23/02/2022","11249","MC19034,MC19035,MC19033","STREET VIEW",9,"VERDADERO",25,"C5-25-00106","PANTEON PUEBLO DE SAN JUAN DE ARAGON, AV IGNACIO ALLENDE, ESQ. ISAIAS CABRERA, SAN JUAN DE ARAGON, GUSTAVO A. MADERO"
"107","C5-25-00107","PANTEONES","PANTEON SAN BARTOLO ATEPEHUAN","PANTEON - CEMENTERIO","45 METROS","SN","SN",7730,"1ERO DE AGOSTO","SAN BARTOLO ATEPEHUACAN","GUSTAVO A. MADERO","LINDAVISTA",19.4933,-99.1409,"CAPA 25","EPSG:4326 - WGS 84 - GEOGRAFICA","01/01/2013","23/02/2022","","MC5464","STREET VIEW",9,"VERDADERO",25,"C5-25-00107","PANTEON SAN BARTOLO ATEPEHUAN, 45 METROS, 1ERO DE AGOSTO, SAN BARTOLO ATEPEHUACAN, GUSTAVO A. MADERO"
"108","C5-25-00108","PANTEONES","PANTEON DEL PUEBLO DE SAN FRANCISCO CULHUACAN","PANTEON - CEMENTERIO","SANTA ANA","SN","SN",4260,"HIDALGO","SAN FRANCISCO CULHUACAN","COYOACAN","TAXQUEÃ‘A",19.3347,-99.1205,"CAPA 25","EPSG:4326 - WGS 84 - GEOGRAFICA","01/01/2013","23/02/2022","6235, 14672","","STREET VIEW",9,"VERDADERO",25,"C5-25-00108","PANTEON DEL PUEBLO DE SAN FRANCISCO CULHUACAN, SANTA ANA, HIDALGO, SAN FRANCISCO CULHUACAN, COYOACAN"
"109","C5-25-00109","PANTEONES","PANTEON SAN PABLO TEPEPTLAPA","PANTEON - CEMENTERIO","CALZADA DE TLALPAN","SN","SN",4620,"BENITO JUAREZ","PUEBLO DE SAN PABLO TEPETLAPA","COYOACAN","XOTEPINGO",19.322,-99.1385,"CAPA 25","EPSG:4326 - WGS 84 - GEOGRAFICA","01/10/2017","23/02/2022","","","STREET VIEW",9,"VERDADERO",25,"C5-25-00109","PANTEON SAN PABLO TEPEPTLAPA, CALZADA DE TLALPAN, BENITO JUAREZ, PUEBLO DE SAN PABLO TEPETLAPA, COYOACAN"
"110","C5-25-00110","PANTEONES","PANTEON SAN PEDRO ZACATENCO","PANTEON - CEMENTERIO","CARTAGENA SUR","SN","SN",7360,"ENTRE ACUEDUCTO Y PARAMARIBO","SAN PEDRO ZACATENCO","GUSTAVO A. MADERO","LINDAVISTA",19.505,-99.1209,"CAPA 25","EPSG:4326 - WGS 84 - GEOGRAFICA","01/01/2013","23/02/2022","","MC19036,MC5773, MC5780","STREET VIEW",9,"VERDADERO",25,"C5-25-00110","PANTEON SAN PEDRO ZACATENCO, CARTAGENA SUR, ENTRE ACUEDUCTO Y PARAMARIBO, SAN PEDRO ZACATENCO, GUSTAVO A. MADERO"
"111","C5-25-00111","PANTEONES","PANTEON SANTA ISABEL TOLA","PANTEON - CEMENTERIO","TENOCHTITLAN","SN","SN",7010,"ENTRE TEPALCATZIN Y CACAMA","SANTA ISABEL TOLA","GUSTAVO A. MADERO","QUIROGA",19.50005185,-99.11598732,"CAPA 25","EPSG:4326 - WGS 84 - GEOGRAFICA","01/01/2013","23/02/2022","10892, 1394","MC19037","STREET VIEW",9,"VERDADERO",25,"C5-25-00111","PANTEON SANTA ISABEL TOLA, TENOCHTITLAN, ENTRE TEPALCATZIN Y CACAMA, SANTA ISABEL TOLA, GUSTAVO A. MADERO"
"112","C5-25-00112","PANTEONES","PANTEON SANTA URSULA","PANTEON - CEMENTERIO","BENITO JUAREZ","SN","SN",4650,"ALLENDE","SANTA URSULA COAPA","COYOACAN","XOTEPINGO",19.3088,-99.1426,"CAPA 25","EPSG:4326 - WGS 84 - GEOGRAFICA","01/10/2017","23/02/2022","","","STREET VIEW",9,"VERDADERO",25,"C5-25-00112","PANTEON SANTA URSULA, BENITO JUAREZ, ALLENDE, SANTA URSULA COAPA, COYOACAN"
"113","C5-25-00113","PANTEONES","PANTEON SANTIAGO ATEPETLAC","PANTEON - CEMENTERIO","ROJO GOMEZ","SN","SN",7600,"CALLE 28","PROGRESO NACIONAL","GUSTAVO A. MADERO","TICOMAN",19.5224,-99.1616,"CAPA 25","EPSG:4326 - WGS 84 - GEOGRAFICA","01/01/2013","23/02/2022","","MC5832,MC19040","STREET VIEW",9,"VERDADERO",25,"C5-25-00113","PANTEON SANTIAGO ATEPETLAC, ROJO GOMEZ, CALLE 28, PROGRESO NACIONAL, GUSTAVO A. MADERO"
